title,current_price,old_price,discount_percentage
Call of Duty®: Black Ops 6 - Cross-Gen Bundle,"2.099,25","2.799,00",-25%
Call of Duty®: Black Ops 6 - Vault Edition,"3.199,20","3.999,00",-20%
EA SPORTS FC™ 25 Standard Edition PS4 & PS5,"1.159,99","2.899,99",-60%
NBA 2K25 Standard Edition,"1.160,00","2.900,00",-60%
NBA 2K25 All-Star Edition,"1.440,00","3.600,00",-60%
God of War Ragnarök,"1.399,50","2.799,00",-50%
God of War Ragnarök,"1.049,58","2.499,00",-58%
Marvel’s Spider-Man 2,"1.735,38","2.799,00",-38%
Marvel’s Spider-Man 2 Digital Deluxe Edition,"1.121,34","1.699,00",-34%
ASTRO BOT,"2.124,15","2.499,00",-15%
ASTRO BOT Digital Deluxe Edition,"2.435,13","2.799,00",-13%
Dragon Age™: The Veilguard,"1.740,00","2.900,00",-40%
Dragon Age™: The Veilguard Deluxe Edition Upgrade,"420,00","700,00",-40%
SILENT HILL 2,"1.749,30","2.499,00",-30%
"Warhammer 40,000: Space Marine 2","1.874,25","2.499,00",-25%
"Warhammer 40,000: Space Marine 2 - Ultra Edition","2.924,25","3.899,00",-25%
Undisputed,"1.574,25","2.099,00",-25%
HELLDIVERS™ 2,"1.119,20","1.399,00",-20%
LEGO® Horizon Adventures™,"1.774,29","2.499,00",-29%
LEGO® Horizon Adventures™ Digital Deluxe Edition,"2.099,25","2.799,00",-25%
F1® 24,F,"2.899,99",-70%
F1® 24,"869,99","1.499,00",-40%
ELDEN RING PS4 & PS5,"899,40","1.599,00",-40%
